Quote,Author
"
      “The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”
  ",Jane Austen
"
      “There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”
  ",Jane Austen
"
      “I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.”
  ",Jane Austen
"
      “A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.”
  ",Jane Austen
"
      “In vain have I struggled. It will not do. My feelings will not be repressed. You must allow me to tell you how ardently I admire and love you.”
  ",Jane Austen
"
      “I do not want people to be very agreeable, as it saves me the trouble of liking them a great deal.”
  ",Jane Austen
"
      “The more I know of the world, the more I am convinced that I shall never see a man whom I can really love. I require so much!”
  ",Jane Austen
"
      “It is a truth universally acknowledged, that a single man in possession of a good fortune, must be in want of a wife.”
  ",Jane Austen
"
      “There are few people whom I really love, and still fewer of whom I think well. The more I see of the world, the more am I dissatisfied with it; and every day confirms my belief of the inconsistency of all human characters, and of the little dependence that can be placed on the appearance of merit or sense.”
  ",Jane Austen
"
      “I cannot fix on the hour, or the spot, or the look or the words, which laid the foundation. It is too long ago. I was in the middle before I knew that I had begun.”
  ",Jane Austen
"
      “Angry people are not always wise.”
  ",Jane Austen
"
      “Vanity and pride are different things, though the words are often used synonymously. A person may be proud without being vain. Pride relates more to our opinion of ourselves, vanity to what we would have others think of us.”
  ",Jane Austen
"
      “I hate to hear you talk about all women as if they were fine ladies instead of rational creatures. None of us want to be in calm waters all our lives.”
  ",Jane Austen
"
      “but for my own part, if a book is well written, I always find it too short.”
  ",Jane Austen
"
      “You pierce my soul. I am half agony, half hope...I have loved none but you.”
  ",Jane Austen
"
      “What are men to rocks and mountains?”
  ",Jane Austen
"
      “There is a stubbornness about me that never can bear to be frightened at the will of others. My courage always rises at every attempt to intimidate me.”
  ",Jane Austen
"
      “I can listen no longer in silence. I must speak to you by such means as are within my reach. You pierce my soul. I am half agony, half hope. Tell me not that I am too late, that such precious feelings are gone for ever. I offer myself to you again with a heart even more your own than when you almost broke it, eight years and a half ago. Dare not say that man forgets sooner than woman, that his love has an earlier death. I have loved none but you. Unjust I may have been, weak and resentful I have been, but never inconstant. You alone have brought me to Bath. For you alone, I think and plan. Have you not seen this? Can you fail to have understood my wishes? I had not waited even these ten days, could I have read your feelings, as I think you must have penetrated mine. I can hardly write. I am every instant hearing something which overpowers me. You sink your voice, but I can distinguish the tones of that voice when they would be lost on others. Too good, too excellent creature! You do us justice, indeed. You do believe that there is true attachment and constancy among men. Believe it to be most fervent, most undeviating, in F. W.",Jane Austen
"
      “I could easily forgive his pride, if he had not mortified mine.”
  ",Jane Austen
"
      “Ah! There is nothing like staying at home, for real comfort.”
  ",Jane Austen
"
      “The Very first moment I beheld him, my heart was irrevocably gone.”
  ",Jane Austen
"
      “I must learn to be content with being happier than I deserve.”
  ",Jane Austen
"
      “It isn't what we say or think that defines us, but what we do.”
  ",Jane Austen
"
      “Silly things do cease to be silly if they are done by sensible people in an impudent way.”
  ",Jane Austen
"
      “Friendship is certainly the finest balm for the pangs of disappointed love.”
  ",Jane Austen
"
      “Laugh as much as you choose, but you will not laugh me out of my opinion.”
  ",Jane Austen
"
      “I have not the pleasure of understanding you.”
  ",Jane Austen
"
      “I may have lost my heart, but not my self-control. ”
  ",Jane Austen
"
      “When I fall in love, it will be forever.”
  ",Jane Austen
